parent_sample	target	intended_iptm	intended_pae	n_offtargets_cofolded	n_offtargets_binding	max_off_iptm	min_off_pae	selectivity_iPTM_margin	selectivity_PAE_margin	worst_offtarget	verdict
dec_ALK_0016	ALK	0.93	1.86	4	3	0.9	2.08	0.03	4.44	NTRK2	STRONG
dec_ALK_0017	ALK	0.9	2.4	4	3	0.93	1.69	-0.03	2.95	NTRK2	MODERATE
dec_ALK_0020	ALK	0.91	2.54	4	4	0.95	1.52	-0.04	1.0	NTRK3	WEAK
dec_ALK_0022	ALK	0.9	2.04	4	3	0.92	1.5	-0.02	3.31	NTRK2	MODERATE
dec_ALK_0044	ALK	0.95	1.64	4	0	0.8	5.12	0.15	5.05	ROS1	STRONG
dec_CDK4_0164	CDK4	0.95	0.86	4	4	0.96	0.82	-0.01	0.07	CDK2	OFF-TARGET RISK
dec_CDK4_0167	CDK4	0.93	0.89	4	4	0.94	0.81	-0.01	0.09	CDK1	OFF-TARGET RISK
dec_CDK4_0174	CDK4	0.94	0.87	4	4	0.95	0.81	-0.01	0.07	CDK1	OFF-TARGET RISK
dec_CDK4_0175	CDK4	0.92	0.88	4	4	0.94	0.82	-0.02	0.09	CDK2	OFF-TARGET RISK
dec_CDK4_0188	CDK4	0.92	0.87	4	4	0.95	0.81	-0.03	0.09	CDK9	OFF-TARGET RISK
dec_CDK6_0243	CDK6	0.95	0.82	4	4	0.94	0.8	0.01	0.1	CDK2	OFF-TARGET RISK
dec_CDK6_0244	CDK6	0.93	0.84	4	4	0.94	0.82	-0.01	0.1	CDK2	OFF-TARGET RISK
dec_CDK6_0250	CDK6	0.96	0.83	4	4	0.96	0.8	0.0	0.12	CDK9	OFF-TARGET RISK
dec_CDK6_0261	CDK6	0.96	0.82	4	4	0.95	0.8	0.01	0.07	CDK1	OFF-TARGET RISK
dec_CDK6_0268	CDK6	0.94	0.83	4	4	0.96	0.82	-0.02	0.15	CDK9	OFF-TARGET RISK
dec_F11_0387	F11	0.98	0.86	8	8	0.98	0.81	0.0	1.32	KLKB1	WEAK
dec_F11_0400	F11	0.97	0.86	8	8	0.97	0.8	0.0	1.22	KLKB1	WEAK
dec_F11_0415	F11	0.97	0.88	8	8	0.97	0.89	0.0	1.76	F7	WEAK
dec_F11_0429	F11	0.98	0.84	8	8	0.98	0.8	0.0	1.07	KLKB1	WEAK
dec_F11_0448	F11	0.97	0.89	8	8	0.97	0.8	0.0	1.94	KLKB1	WEAK
dec_FLT3_0469	FLT3	0.97	0.95	7	6	0.97	0.97	0.0	11.75	PDGFRA	STRONG
dec_FLT3_0480	FLT3	0.96	1.1	7	6	0.96	1.12	0.0	6.26	KIT	STRONG
dec_FLT3_0484	FLT3	0.94	1.38	7	6	0.94	1.27	0.0	5.35	KIT	STRONG
dec_FLT3_0489	FLT3	0.95	1.26	7	6	0.96	1.08	-0.01	5.29	KIT	STRONG
dec_FLT3_0502	FLT3	0.96	1.12	7	6	0.96	1.03	0.0	7.36	KIT	STRONG
dec_MAP2K1_0805	MAP2K1	0.85	2.01	7	6	0.85	1.41	0.0	3.31	TGFBR1	MODERATE
dec_MAP2K1_0806	MAP2K1	0.91	1.27	7	7	0.85	1.36	0.06	2.88	TGFBR1	MODERATE
dec_MAP2K1_0808	MAP2K1	0.74	3.52	7	6	0.83	1.93	-0.09	3.07	TGFBR1	MODERATE
dec_MAP2K1_0830	MAP2K1	0.93	1.11	7	5	0.84	1.58	0.09	4.53	TGFBR1	STRONG
dec_MAP2K1_0859	MAP2K1	0.96	0.9	7	4	0.92	1.61	0.04	4.79	MAP2K5	STRONG
dec_MAP2K2_0878	MAP2K2	0.96	0.94	7	6	0.86	1.51	0.1	4.64	TGFBR1	STRONG
dec_MAP2K2_0886	MAP2K2	0.82	2.24	7	7	0.93	1.15	-0.11	0.34	TGFBR1	OFF-TARGET RISK
dec_MAP2K2_0887	MAP2K2	0.8	2.93	7	7	0.92	1.17	-0.12	-0.51	TGFBR1	OFF-TARGET RISK
dec_MAP2K2_0897	MAP2K2	0.96	0.96	7	5	0.89	1.68	0.07	4.59	MAP2K4	STRONG
dec_MAP2K2_0929	MAP2K2	0.95	0.88	7	5	0.92	1.23	0.03	5.82	MAP2K3	STRONG
dec_PARP1_0961	PARP1	0.97	0.9	4	4	0.96	0.84	0.01	0.34	PARP2	OFF-TARGET RISK
dec_PARP1_0974	PARP1	0.96	0.97	4	4	0.97	0.8	-0.01	0.22	PARP2	OFF-TARGET RISK
dec_PARP1_0982	PARP1	0.94	1.5	4	4	0.93	0.93	0.01	0.12	PARP2	OFF-TARGET RISK
dec_PARP1_1000	PARP1	0.96	1.0	4	4	0.95	0.92	0.01	0.42	PARP2	OFF-TARGET RISK
dec_PARP1_1017	PARP1	0.94	1.08	4	4	0.91	0.91	0.03	0.94	TNKS2	WEAK
