target	n_compounds	n_valid_fps	n_chemotypes_T04	n_chemotypes_T06	n_chemotypes_T07	n_unique_murcko	biggest_cluster_T06	n_singletons_T06
ALK	66	66	6	28	35	38	14	20
BTK	82	82	28	63	70	71	4	50
CDK4	62	62	7	24	37	39	18	15
CDK6	58	58	4	15	27	25	12	8
EGFR	88	88	25	67	77	71	6	56
F11	65	65	10	22	36	38	17	13
FLT3	83	83	31	59	69	66	5	47
JAK1	80	80	19	53	66	61	9	41
JAK2	83	83	30	61	67	71	12	52
JAK3	77	77	27	54	58	54	15	47
MAP2K1	67	67	14	35	44	28	20	28
MAP2K2	72	72	19	36	46	31	14	26
PARP1	85	85	29	64	73	68	10	55
PARP2	70	70	15	24	39	34	24	21
PIK3CA	85	85	37	66	73	71	4	53
TYK2	77	77	28	45	52	51	16	36
