drug_name	off_target_gene	leakage_class	is_intended_target	n_training_pdbs_for_gene	gene_rank_by_cosine	gene_rank_by_pAff	global_cosine	predicted_pAff	drug_in_training	drug_paired_with_gene_in_training
ibrutinib	BTK	C	True	53					False	False
ibrutinib	BMX	C	False	1					False	False
ibrutinib	BLK	C	False	1					False	False
ibrutinib	EGFR	C	False	82					False	False
ibrutinib	ERBB2	C	False	3					False	False
ibrutinib	ERBB4	C	False	3					False	False
ibrutinib	FGR	C	False	1					False	False
ibrutinib	FYN	C	False	4					False	False
ibrutinib	HCK	C	False	11					False	False
ibrutinib	ITK	C	False	30					False	False
ibrutinib	JAK3	C	False	34					False	False
ibrutinib	LCK	C	False	24					False	False
ibrutinib	LYN	C	False	2					False	False
ibrutinib	RIPK2	C	False	16					False	False
ibrutinib	SRC	C	False	77					False	False
ibrutinib	TEC	C	False	1					False	False
ibrutinib	TXK	C	False	1					False	False
ibrutinib	YES1	C	False	1					False	False
acalabrutinib	BTK	C	True	53	2429.0	225.0	0.0415173545479774	6.549651145935059	False	False
acalabrutinib	TEC	C	False	1	3153.0	3281.0	0.0231079440563917	5.818838596343994	False	False
imatinib	ABL1	B	True	21	12.0	127.0	0.2147184610366821	8.107298851013184	True	False
imatinib	ABL2	B	False	2	21.0	412.0	0.1991567462682724	7.726690292358398	True	False
imatinib	KIT	B	True	8	107.0	419.0	0.1544319987297058	6.814394474029541	True	False
imatinib	PDGFRA	B	True	1	32.0	608.0	0.1872206628322601	7.524587631225586	True	False
imatinib	PDGFRB	A	True	1	3.0	476.0	0.2328215539455413	7.643937110900879	True	True
imatinib	DDR1	B	False	13	77.0	246.0	0.1673740595579147	7.160085678100586	True	False
imatinib	DDR2	A	False	2	89.0	518.0	0.1608810275793075	7.608357429504394	True	True
imatinib	LCK	B	False	24	39.0	247.0	0.1830791980028152	7.889193534851074	True	False
imatinib	CSK	B	False	1	79.0	1218.0	0.1644597351551056	7.089195728302002	True	False
dasatinib	ABL1	B	True	21	29.0	231.0	0.2230664938688278	7.694830894470215	True	False
dasatinib	SRC	A	True	77	1.0	40.0	0.2651548385620117	7.83347225189209	True	True
dasatinib	FYN	A	False	4	21.0	56.0	0.2288745045661926	7.356940746307373	True	True
dasatinib	LYN	A	False	2	15.0	196.0	0.2400978207588195	7.875275611877441	True	True
dasatinib	LCK	A	False	24	2.0	31.0	0.2581402063369751	8.08328628540039	True	True
dasatinib	HCK	B	False	11	17.0	185.0	0.2311501204967498	7.518232345581055	True	False
dasatinib	FGR	B	False	1	4.0	1025.0	0.2560184597969055	7.077755451202393	True	False
dasatinib	BLK	B	False	1	28.0	453.0	0.2250526547431945	7.534846305847168	True	False
dasatinib	YES1	A	False	1	10.0	814.0	0.2461863905191421	7.226437568664551	True	True
dasatinib	KIT	A	False	8	136.0	189.0	0.1383689194917678	7.7515549659729	True	True
dasatinib	PDGFRB	A	False	1	96.0	633.0	0.1519294381141662	7.356306076049805	True	True
dasatinib	EPHA2	B	False	31	7.0	300.0	0.2507082223892212	7.647136688232422	True	False
dasatinib	EPHA3	B	False	6	5.0	262.0	0.2535204887390136	7.471190929412842	True	False
dasatinib	EPHA4	B	False	4	30.0	347.0	0.2213731557130813	6.684947967529297	True	False
dasatinib	EPHA5	B	False	1	41.0	855.0	0.2057406306266784	7.197756767272949	True	False
dasatinib	EPHA6	B	False	1	58.0	1064.0	0.1850934028625488	7.059897422790527	True	False
dasatinib	EPHA7	B	False	1	48.0	870.0	0.1971040964126587	7.187263488769531	True	False
dasatinib	EPHA8	B	False	1	83.0	601.0	0.159656286239624	7.379357814788818	True	False
dasatinib	EPHB1	B	False	3	36.0	558.0	0.2095944732427597	7.1168389320373535	True	False
dasatinib	EPHB2	A	False	2	18.0	928.0	0.2301683127880096	6.990564823150635	True	True
dasatinib	EPHB3	B	False	3	14.0	318.0	0.2402016222476959	7.688426971435547	True	False
dasatinib	EPHB4	B	False	16	3.0	433.0	0.2563649415969848	7.546005249023437	True	False
dasatinib	EPHB6	B	False	1	331.0	1196.0	0.1032565310597419	6.982563495635986	True	False
dasatinib	DDR1	B	False	13	26.0	250.0	0.2259198576211929	7.797401428222656	True	False
dasatinib	DDR2	A	False	2	24.0	198.0	0.2280149757862091	7.299624443054199	True	True
dasatinib	CSK	A	False	1	8.0	1666.0	0.2490007430315017	6.713393211364746	True	True
ponatinib	ABL1	C	True	21	2.0	96.0	0.2309774458408355	8.03632926940918	False	False
ponatinib	KIT	C	False	8	28.0	109.0	0.1777516603469848	8.019495964050293	False	False
ponatinib	FGFR1	C	False	30	15.0	104.0	0.2048854082822799	8.325968742370605	False	False
ponatinib	FGFR2	C	False	3	39.0	229.0	0.1697128564119339	7.997554779052734	False	False
ponatinib	FGFR3	C	False	1	89.0	614.0	0.1425690650939941	7.747184753417969	False	False
ponatinib	FGFR4	C	False	16	16.0	94.0	0.2025915384292602	8.428719520568848	False	False
ponatinib	FLT3	C	False	2	57.0	367.0	0.1566289067268371	8.0090970993042	False	False
ponatinib	RET	C	False	8	35.0	125.0	0.1741684079170227	8.360987663269043	False	False
ponatinib	FLT1	C	False	2	46.0	476.0	0.16343954205513	7.89174747467041	False	False
ponatinib	KDR	C	False	28	6.0	39.0	0.2199524343013763	8.456123352050781	False	False
ponatinib	FLT4	C	False	1	66.0	881.0	0.1534807682037353	7.53607702255249	False	False
ponatinib	LYN	C	False	2	12.0	241.0	0.2087875753641128	8.167702674865723	False	False
ponatinib	SRC	C	False	77	4.0	72.0	0.2247351855039596	7.923305511474609	False	False
ponatinib	TEK	C	False	6	8.0	86.0	0.2192646265029907	7.832733631134033	False	False
sunitinib	FLT1	A	True	2	47.0	370.0	0.1906895935535431	6.32728385925293	True	True
sunitinib	KDR	A	True	28	3.0	208.0	0.2737996280193329	7.549905776977539	True	True
sunitinib	FLT4	A	True	1	31.0	1362.0	0.1987154930830001	6.771374702453613	True	True
sunitinib	KIT	A	True	8	7.0	160.0	0.2389941811561584	7.865929126739502	True	True
sunitinib	FLT3	A	True	2	42.0	248.0	0.1925806701183319	6.806647300720215	True	True
sunitinib	PDGFRA	A	True	1	23.0	1840.0	0.2109685242176056	6.5155205726623535	True	True
sunitinib	PDGFRB	A	True	1	10.0	1409.0	0.2295760214328766	6.750850200653076	True	True
sunitinib	RET	A	True	8	27.0	637.0	0.2062381505966186	7.025081634521484	True	True
sunitinib	CSF1R	A	False	12	50.0	98.0	0.1886074393987655	8.013683319091797	True	True
sunitinib	PRKAA1	C	False	0					True	False
sunitinib	PRKAA2	A	False	4	1.0	367.0	0.3061239719390869	6.337724685668945	True	True
sunitinib	RIPK2	B	False	16	137.0	807.0	0.1541762799024582	6.990336418151856	True	False
sorafenib	BRAF	A	True	49	2.0	429.0	0.2737455070018768	6.704860687255859	True	True
sorafenib	RAF1	A	True	1	4.0	1346.0	0.2701452374458313	7.124086380004883	True	True
sorafenib	KDR	A	True	28	15.0	105.0	0.2315139323472976	8.13298511505127	True	True
sorafenib	FLT4	A	True	1	34.0	1141.0	0.202384278178215	7.225121974945068	True	True
sorafenib	KIT	A	True	8	47.0	139.0	0.1874796003103256	8.177202224731445	True	True
sorafenib	FLT3	A	False	2	153.0	474.0	0.1484929323196411	6.918575286865234	True	True
sorafenib	PDGFRB	A	False	1	58.0	1071.0	0.180840402841568	7.268269538879394	True	True
sorafenib	RET	A	False	8	7.0	241.0	0.2542986273765564	8.00061321258545	True	True
sorafenib	FGFR1	A	False	30	23.0	246.0	0.2119286358356475	7.997542858123779	True	True
gefitinib	EGFR	B	True	82	5.0	43.0	0.2266760915517807	7.902438163757324	True	False
gefitinib	ERBB2	A	False	3	3.0	149.0	0.2412093430757522	7.803152561187744	True	True
gefitinib	ERBB4	A	False	3	4.0	111.0	0.239361971616745	7.638060092926025	True	True
gefitinib	RIPK2	B	False	16	61.0	362.0	0.121803879737854	7.828832626342773	True	False
erlotinib	EGFR	B	True	82	6.0	59.0	0.2236157059669494	6.962996482849121	True	False
erlotinib	ERBB2	A	False	3	5.0	316.0	0.2236562371253967	6.861810684204102	True	True
crizotinib	ALK	C	True	36	1.0	181.0	0.3489150702953338	7.929804801940918	False	False
crizotinib	ROS1	C	True	2	12.0	422.0	0.196000263094902	7.753205299377441	False	False
crizotinib	MET	C	True	61	16.0	95.0	0.1899777054786682	6.92125415802002	False	False
crizotinib	MST1R	C	False	1	24.0	2336.0	0.1809895038604736	6.585848808288574	False	False
